drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
UMLS:C0338832|CHEBI:8707	Recurrent manic episodes	Quetiapine	CHEBI:8707	UMLS:C0338832	['QUETIAPINE']	['MANIC EPISODES']
UMLS:C0339164|CHEBI:31784	Seasonal allergic conjunctivitis	Loteprednol etabonate	CHEBI:31784	UMLS:C0339164	['LOTEPREDNOL']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339164|CHEBI:4735	Seasonal allergic conjunctivitis	Edetic acid	CHEBI:4735	UMLS:C0339164	['EDETIC ACID, KETOROLAC']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339164|CHEBI:4779	Seasonal allergic conjunctivitis	Emedastine	CHEBI:4779	UMLS:C0339164	['EMEDASTINE']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339164|CHEBI:5781	Seasonal allergic conjunctivitis	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	UMLS:C0339164	['HYDROCORTISONE']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339164|CHEBI:6129	Seasonal allergic conjunctivitis	Ketorolac	CHEBI:6129	UMLS:C0339164	['KETOROLAC', 'KETOROLAC ']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339164|CHEBI:7769	Seasonal allergic conjunctivitis	Olopatadine	CHEBI:7769	UMLS:C0339164	['OLOPATADINE']	['SEASONAL ALLERGIC CONJUNCTIVITIS']
UMLS:C0339289|CHEBI:31784	Injury of cornea	Loteprednol etabonate	CHEBI:31784	UMLS:C0339289	['LOTEPREDNOL, TOBRAMYCIN']	['CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES']
UMLS:C0339289|CHEBI:4462	Injury of cornea	DEXAMETHASONE SODIUM PHOSPHATE	CHEBI:4462	UMLS:C0339289	['DEXAMETHASONE']	['CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL OR THERMAL BURNS', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES']
UMLS:C0339289|CHEBI:4735	Injury of cornea	Edetic acid	CHEBI:4735	UMLS:C0339289	['PREDNISOLONE, EDETIC ACID']	['CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339289|CHEBI:8378	Injury of cornea	Prednisolone	CHEBI:8378	UMLS:C0339289	['PREDNISOLONE']	['CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339289|CHEBI:8382	Injury of cornea	Prednisone	CHEBI:8382	UMLS:C0339289	['PREDNISONE']	['SUCH AS CORNEAL AND SCLERAL INJURIES']
UMLS:C0339289|PUBCHEM.COMPOUND:56841899	Injury of cornea	Maxinom	PUBCHEM.COMPOUND:56841899	UMLS:C0339289	['NEOMYCIN, POLYMYXIN B, DEXAMETHASONE']	['CORNEAL INJURY', 'CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM FOREIGN BODY PENETRATION', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339289|RXCUI:215703	Injury of cornea	Blephamide	RXCUI:215703	UMLS:C0339289	['PREDNISOLONE, SULFACETAMIDE']	['CORNEAL INJURY', 'CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339289|RXCUI:374806	Injury of cornea	bacitracin / hydrocortisone / neomycin / polymyxin B Ophthalmic Ointment	RXCUI:374806	UMLS:C0339289	['HYDROCORTISONE, NEOMYCIN, POLYMYXIN B', 'HYDROCORTISONE, NEOMYCIN, POLYMYXIN B, BACITRACIN']	['CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339289|RXCUI:94334	Injury of cornea	dexamethasone / tobramycin Ophthalmic Suspension [Tobradex]	RXCUI:94334	UMLS:C0339289	['DEXAMETHASONE, TOBRAMYCIN']	['CORNEAL INJURY', 'CORNEAL INJURY FROM CHEMICAL', 'CORNEAL INJURY FROM CHEMICAL BURNS', 'CORNEAL INJURY FROM FOREIGN BODY PENETRATION', 'CORNEAL INJURY FROM PENETRATION OF FOREIGN BODIES', 'CORNEAL INJURY FROM THERMAL BURNS']
UMLS:C0339303|CHEBI:5781	Corneal graft rejection	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	UMLS:C0339303	['HYDROCORTISONE']	['PREVENTION OF GRAFT REJECTION']
UMLS:C0339303|CHEBI:8382	Corneal graft rejection	Prednisone	CHEBI:8382	UMLS:C0339303	['PREDNISONE']	['PREVENTION OF GRAFT REJECTION', 'PROPHYLAXIS OF GRAFT REJECTION']
UMLS:C0339303|UNII:E3B2GI648A	Corneal graft rejection	Belatacept	UNII:E3B2GI648A	UMLS:C0339303	['BELATACEPT']	['GRAFT REJECTION']
UMLS:C0339403|CHEBI:32293	Presumed ocular histoplasmosis syndrome	Verteporfin	CHEBI:32293	UMLS:C0339403	['VERTEPORFIN']	['PRESUMED OCULAR HISTOPLASMOSIS']
UMLS:C0339807|DRUGBANK:DB10400	House dust allergy	Dermatophagoides farinae	DRUGBANK:DB10400	UMLS:C0339807	['DERMATOPHAGOIDES PTERONYSSINUS, DERMATOPHAGOIDES FARINAE']	['HOUSE DUST ALLERGY']
UMLS:C0340044|CHEBI:47657	Acute exacerbation of chronic obstructive pulmonary disease	Roflumilast	CHEBI:47657	UMLS:C0340044	['ROFLUMILAST']	['COPD EXACERBATIONS']
UMLS:C0340044|CHEBI:6888	Acute exacerbation of chronic obstructive pulmonary disease	Methylprednisolone	CHEBI:6888	UMLS:C0340044	['METHYLPREDNISOLONE']	['EXACERBATION OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE']
UMLS:C0340044|CHEBI:90959	Acute exacerbation of chronic obstructive pulmonary disease	tiotropium bromide	CHEBI:90959	UMLS:C0340044	['TIOTROPIUM']	['COPD EXACERBATIONS']
UMLS:C0340255|CHEBI:8382	Trauma and postoperative pulmonary insufficiency	Prednisone	CHEBI:8382	UMLS:C0340255	['PREDNISONE']	['POSTOPERATIVE PULMONARY INSUFFICIENCY']
UMLS:C0340288|CHEBI:101278	Stable angina	Diltiazem	CHEBI:101278	UMLS:C0340288	['DILTIAZEM']	['ANGINA (CHRONIC STABLE)', 'CHRONIC STABLE ANGINA']
UMLS:C0340288|CHEBI:15365	Stable angina	Acetylsalicylic acid	CHEBI:15365	UMLS:C0340288	['(1) CLOPIDOGREL SULFATE\n(2) ASPIRIN', 'ASPIRIN']	['CHRONIC STABLE ANGINA', 'STABLE ANGINA']
UMLS:C0340288|CHEBI:2668	Stable angina	Amlodipine	CHEBI:2668	UMLS:C0340288	['AMLODIPINE', 'AMLODIPINE ', 'AMLODIPINE, ARGININE', 'AMLODIPINE, BENAZEPRILAT']	['CHRONIC STABLE ANGINA']
UMLS:C0340288|CHEBI:7551	Stable angina	NICARDIPINE HYDROCHLORIDE	CHEBI:7551	UMLS:C0340288	['NICARDIPINE']	['STABLE ANGINA']
UMLS:C0340288|CHEBI:7565	Stable angina	Nifedipine	CHEBI:7565	UMLS:C0340288	['NIFEDIPINE']	['CHRONIC STABLE ANGINA']
UMLS:C0340288|CHEBI:77733	Stable angina	Verapamil	CHEBI:77733	UMLS:C0340288	['VERAPAMIL']	['ANGINA (CHRONIC STABLE)', 'CHRONIC STABLE ANGINA']
UMLS:C0340288|CHEBI:87681	Stable angina	Ranolazine	CHEBI:87681	UMLS:C0340288	['RANOLAZINE']	['CHRONIC ANGINA', 'STABLE ANGINA PECTORIS']
UMLS:C0340288|CHEBI:87715	Stable angina	Prasugrel	CHEBI:87715	UMLS:C0340288	['PRASUGREL HYDROCHLORIDE']	['STABLE ANGINA']
UMLS:C0340288|PUBCHEM.COMPOUND:129627308	Stable angina	Ethyl-S-(+)-Clopidogrel Sulfate	PUBCHEM.COMPOUND:129627308	UMLS:C0340288	['CLOPIDOGREL SULFATE']	['STABLE ANGINA']
UMLS:C0340288|RXCUI:404914	Stable angina	Caduet	RXCUI:404914	UMLS:C0340288	['AMLODIPINE, ATORVASTATIN']	['CHRONIC STABLE ANGINA']
UMLS:C0340359|CHEBI:28001	Prosthetic valve endocarditis	Vancomycin	CHEBI:28001	UMLS:C0340359	['VANCOMYCIN']	['EARLY-ONSET PROSTHETIC VALVE ENDOCARDITIS (S. EPIDERMIDIS OR DIPHTHEROIDS)', 'EARLY-ONSET PROSTHETIC VALVE ENDOCARDITIS CAUSED BY DIPHTHEROIDS', 'EARLY-ONSET PROSTHETIC VALVE ENDOCARDITIS CAUSED BY S. EPIDERMIDIS', 'EARLY-ONSET PROSTHETIC VALVE ENDOCARDITIS CAUSED BY S. EPIDERMIDIS OR DIPHTHEROIDS']
UMLS:C0340845|CHEBI:9168	Mixed vascular malformation	Sirolimus	CHEBI:9168	UMLS:C0340845	['SIROLIMUS']	['MIXED VASCULAR MALFORMATION']
UMLS:C0340865|CHEBI:5781	Anaphylactoid Reaction	HYDROCORTISONE SODIUM PHOSPHATE	CHEBI:5781	UMLS:C0340865	['HYDROCORTISONE']	['ANAPHYLACTOID REACTIONS']
UMLS:C0340865|CHEBI:6888	Anaphylactoid Reaction	Methylprednisolone	CHEBI:6888	UMLS:C0340865	['METHYLPREDNISOLONE']	['ANAPHYLACTOID REACTIONS']
UMLS:C0340865|CHEBI:8378	Anaphylactoid Reaction	Prednisolone	CHEBI:8378	UMLS:C0340865	['PREDNISOLONE']	['ANAPHYLACTOID REACTIONS']
UMLS:C0340865|CHEBI:8382	Anaphylactoid Reaction	Prednisone	CHEBI:8382	UMLS:C0340865	['PREDNISONE']	['ANAPHYLACTOID REACTIONS']
UMLS:C0341164|CHEBI:31934	Bleeding gastric ulcer	OMEPRAZOLE SODIUM	CHEBI:31934	UMLS:C0341164	['BICARBONATE ION, OMEPRAZOLE', 'ESOMEPRAZOLE', 'OMEPRAZOLE', 'OMEPRAZOLE, SODIUM CATION']	['ACTIVE BENIGN GASTRIC ULCER', 'BENIGN GASTRIC ULCER', 'NSAID-ASSOCIATED GASTRIC ULCER']
UMLS:C0341164|CHEBI:3699	Bleeding gastric ulcer	Cimetidine	CHEBI:3699	UMLS:C0341164	['CIMETIDINE']	['BENIGN GASTRIC ULCER']
UMLS:C0341164|CHEBI:4975	Bleeding gastric ulcer	Famotidine	CHEBI:4975	UMLS:C0341164	['FAMOTIDINE']	['ACTIVE BENIGN GASTRIC ULCER', 'ACTIVE GASTRIC ULCER', 'ACTIVE GASTRIC ULCER (GU)', 'BENIGN GASTRIC ULCER', 'GASTRIC ULCER (ACTIVE', 'SHORT TERM TREATMENT OF ACTIVE BENIGN GASTRIC ULCER']
UMLS:C0341164|CHEBI:6375	Bleeding gastric ulcer	Lansoprazole	CHEBI:6375	UMLS:C0341164	['LANSOPRAZOLE']	['ACTIVE BENIGN GASTRIC ULCER', 'BENIGN GASTRIC ULCER', 'NSAID-ASSOCIATED GASTRIC ULCER', 'TREATMENT OF ACTIVE BENIGN GASTRIC ULCER']
UMLS:C0341164|CHEBI:7601	Bleeding gastric ulcer	Nizatidine	CHEBI:7601	UMLS:C0341164	['NIZATIDINE']	['BENIGN GASTRIC ULCER']
UMLS:C0341164|CHEBI:7915	Bleeding gastric ulcer	Pantoprazole	CHEBI:7915	UMLS:C0341164	['PANTOPRAZOLE']	['SHORT-TERM TREATMENT OF ACTIVE GASTRIC ULCER']
UMLS:C0341164|CHEBI:8776	Bleeding gastric ulcer	ranitidine	CHEBI:8776	UMLS:C0341164	['RANITIDINE']	['BENIGN GASTRIC ULCER']
UMLS:C0341178|CHEBI:16684	Multiple gastric ulcers	Atropine	CHEBI:16684	UMLS:C0341178	['HYOSCYAMINE']	['GASTRIC ULCERS']
UMLS:C0341178|CHEBI:31934	Multiple gastric ulcers	OMEPRAZOLE SODIUM	CHEBI:31934	UMLS:C0341178	['ESOMEPRAZOLE']	['GASTRIC ULCERS']
UMLS:C0341178|CHEBI:63610	Multiple gastric ulcers	Misoprostol	CHEBI:63610	UMLS:C0341178	['MISOPROSTOL']	['GASTRIC ULCERS']
UMLS:C0341178|CHEBI:7915	Multiple gastric ulcers	Pantoprazole	CHEBI:7915	UMLS:C0341178	['PANTOPRAZOLE']	['GASTRIC ULCERS']
UMLS:C0341178|RXCUI:1811627	Multiple gastric ulcers	aspirin / omeprazole Oral Product	RXCUI:1811627	UMLS:C0341178	['ASPIRIN, OMEPRAZOLE']	['GASTRIC ULCERS']
UMLS:C0341439|UNII:3H8GSZ4SQL	Chronic liver disease	Avatrombopag	UNII:3H8GSZ4SQL	UMLS:C0341439	['AVATROMBOPAG']	['CHRONIC LIVER DISEASE']
UMLS:C0341503|CHEBI:3514	Bacterial peritonitis	Ceftriaxone disodium salt hemiheptahydrate	CHEBI:3514	UMLS:C0341503	['CEFTRIAXONE']	['BACTERIAL PERITONITIS']
UMLS:C0341593|CHEBI:6532	Ileostomy malfunction	Loperamide	CHEBI:6532	UMLS:C0341593	['LOPERAMIDE']	['ILEOSTOMY']
UMLS:C0341736|CHEBI:135920	Neurogenic detrusor overactivity	Fesoterodine	CHEBI:135920	UMLS:C0341736	['FESOTERODINE']	['NEUROGENIC DETRUSOR OVERACTIVITY (NDO)']
UMLS:C0341736|CHEBI:144551	Neurogenic detrusor overactivity	Oxybutynin	CHEBI:144551	UMLS:C0341736	['OXYBUTYNIN']	['DETRUSOR OVERACTIVITY']
UMLS:C0341736|CHEBI:32151	Neurogenic detrusor overactivity	SOLIFENACIN SUCCINATE	CHEBI:32151	UMLS:C0341736	['SOLIFENACIN']	['NEUROGENIC DETRUSOR OVERACTIVITY (NDO)']
UMLS:C0341736|CHEBI:65349	Neurogenic detrusor overactivity	Mirabegron	CHEBI:65349	UMLS:C0341736	['MIRABEGRON']	['NEUROGENIC DETRUSOR OVERACTIVITY (NDO)']
UMLS:C0341736|DRUGBANK:DB00083	Neurogenic detrusor overactivity	Botulinum toxin type A	DRUGBANK:DB00083	UMLS:C0341736	['BOTULINUM TOXIN TYPE A']	['NEUROGENIC DETRUSOR OVERACTIVITY (NDO)']
UMLS:C0341742|CHEBI:5062	Acute retention of urine	Finasteride	CHEBI:5062	UMLS:C0341742	['FINASTERIDE']	['ACUTE URINARY RETENTION']
UMLS:C0341742|CHEBI:521033	Acute retention of urine	Dutasteride	CHEBI:521033	UMLS:C0341742	['DUTASTERIDE']	['ACUTE URINARY RETENTION']
UMLS:C0341778|CHEBI:3514	Gonococcal epididymitis	Ceftriaxone disodium salt hemiheptahydrate	CHEBI:3514	UMLS:C0341778	['CEFTRIAXONE SODIUM']	['GONOCOCCAL EPIDIDYMITIS']
UMLS:C0341834|CHEBI:9763	Chlamydial cervicitis	Trovafloxacin	CHEBI:9763	UMLS:C0341834	['TROVAFLOXACIN']	['CHLAMYDIAL CERVICITIS']
UMLS:C0342114|CHEBI:35940	Diffuse goiter	Protirelin	CHEBI:35940	UMLS:C0342114	['PROTIRELIN']	['DIFFUSE GOITER']
UMLS:C0342257|CHEBI:45652	Complications of Diabetes Mellitus	Succinylcholine	CHEBI:45652	UMLS:C0342257	['SUCCINYLCHOLINE']	['(PREVENTATIVE) COMPLICATIONS OF MECHANICAL VENTILATION', '(PREVENTATIVE) SURGICAL COMPLICATIONS']
UMLS:C0342257|CHEBI:5384	Complications of Diabetes Mellitus	Glipizide	CHEBI:5384	UMLS:C0342257	['GLIPIZIDE']	['CARDIOVASCULAR COMPLICATIONS OF DIABETES', 'LONG-TERM CARDIOVASCULAR COMPLICATIONS OF DIABETES', 'LONG-TERM CARDIOVASCULAR OR NEURAL COMPLICATIONS OF DIABETES', 'NEURAL COMPLICATIONS OF DIABETES']
UMLS:C0342257|CHEBI:8884	Complications of Diabetes Mellitus	Rocuronium	CHEBI:8884	UMLS:C0342257	['ROCURONIUM']	['(PREVENTATIVE) COMPLICATIONS OF MECHANICAL VENTILATION', '(PREVENTATIVE) COMPLICATIONS OF SURGERY']
UMLS:C0342257|CHEBI:9180	Complications of Diabetes Mellitus	SODIUM SALICYLATE	CHEBI:9180	UMLS:C0342257	['SALICYLIC ACID']	['PYODERMAS (COMPLICATIONS)']
UMLS:C0342257|DRUGBANK:DB00083	Complications of Diabetes Mellitus	Botulinum toxin type A	DRUGBANK:DB00083	UMLS:C0342257	['N/A FOR THIS COMBINATION DRUG']	['(PREVENTATIVE) COMPLICATIONS ASSOCIATED WITH COLONOSCOPY']
UMLS:C0342303|CHEBI:18420	Metabolic stress hyperglycemia	Magnesium cation	CHEBI:18420	UMLS:C0342303	['CALCIUM CATION, NIACINAMIDE, FOLIC ACID, MANGANESE CATION (2+), IRON, THIAMINE ION, CUPRIC CATION, RIBOFLAVIN, ASCORBIC ACID, ZINC CATION, CYANOCOBALAMIN, MAGNESIUM CATION, PYRIDOXINE']	['METABOLIC STRESS']
UMLS:C0342303|CHEBI:49544	Metabolic stress hyperglycemia	Chromic cation	CHEBI:49544	UMLS:C0342303	['CALCIUM CATION, NIACINAMIDE, FOLIC ACID, VITAMIN A, MANGANESE CATION (2+), THIAMINE ION, FERROUS CATION, .ALPHA.-TOCOPHEROL, DL-, CHROMIC CATION, RIBOFLAVIN, ASCORBIC ACID, ZINC CATION, CYANOCOBALAMIN, MAGNESIUM CATION, MOLYBDENUM, PYRIDOXINE, SELENIUM, CHOLECALCIFEROL']	['METABOLIC STRESS']
UMLS:C0342303|RXCUI:1119566	Metabolic stress hyperglycemia	ascorbic acid / cholecalciferol / cuprous oxide / folic acid / magnesium oxide / niacin / polysaccharide iron complex / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc oxide Oral Capsule	RXCUI:1119566	UMLS:C0342303	['CALCIUM CATION, VITAMIN A, FERROUS CATION, BORON, RIBOFLAVIN, ASCORBIC ACID, CUPROUS OXIDE, PANTOTHENIC ACID, BIOTIN, THIAMINE ION, NIACIN, ZINC CATION, CYANOCOBALAMIN, IODIDE ION, MOLYBDENUM, FOLIC ACID, POTASSIUM CATION, MAGNESIUM CATION, PYRIDOXINE, SELENIUM, CHOLECALCIFEROL, NIACINAMIDE, MANGANESE CATION (2+), .ALPHA.-TOCOPHEROL, DL-']	['METABOLIC STRESS']
UMLS:C0342342|CHEBI:17823	Idiopathic Hypoparathyroidism	Calcitriol	CHEBI:17823	UMLS:C0342342	['CALCITRIOL']	['IDIOPATHIC HYPOPARATHYROIDISM']
UMLS:C0342342|CHEBI:8382	Idiopathic Hypoparathyroidism	Prednisone	CHEBI:8382	UMLS:C0342342	['PREDNISONE']	['IDIOPATHIC HYPOPARATHYROIDISM']
UMLS:C0342387|UNII:3JGY52XJNA	LH - luteinizing hormone deficiency	Lutropin alfa	UNII:3JGY52XJNA	UMLS:C0342387	['LUTROPIN ALFA']	['LUTEINISING-HORMONE (LH) DEFICIENCY']
UMLS:C0342398|CHEBI:16467	Hypophysectomy-induced hypopituitarism	Arginine	CHEBI:16467	UMLS:C0342398	['ARGININE']	['HYPOPHYSECTOMY']
UMLS:C0342398|CHEBI:8382	Hypophysectomy-induced hypopituitarism	Prednisone	CHEBI:8382	UMLS:C0342398	['PREDNISONE']	['HYPOPHYSECTOMY']
UMLS:C0342479|CHEBI:8382	Post-adrenalectomy adrenal insufficiency	Prednisone	CHEBI:8382	UMLS:C0342479	['PREDNISONE']	['POST-ADRENALECTOMY']
UMLS:C0342513|CHEBI:4762	Idiopathic hirsutism	EFLORNITHINE HYDROCHLORIDE	CHEBI:4762	UMLS:C0342513	['EFLORNITHINE']	['IDIOPATHIC HIRSUTISM']
UMLS:C0342579|CHEBI:17996	Electrolyte imbalance	Chloride ion	CHEBI:17996	UMLS:C0342579	['CHLORIDE ION']	['ELECTROLYTE IMBALANCE']
UMLS:C0342579|CHEBI:26710	Electrolyte imbalance	Sodium chloride	CHEBI:26710	UMLS:C0342579	['CHLORIDE ION, SODIUM CATION', 'POTASSIUM CATION, CHLORIDE ION, SODIUM CATION']	['ELECTROLYTE IMBALANCE', 'ELECTROLYTE IMBALANCES']
UMLS:C0342579|CHEBI:29101	Electrolyte imbalance	Sodium cation	CHEBI:29101	UMLS:C0342579	['CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, ACETATE ION, SODIUM CATION, MAGNESIUM CATION', 'CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, ANHYDROUS DEXTROSE, SODIUM CATION, MAGNESIUM CATION, LACTIC ACID, UNSPECIFIED FORM, BICARBONATE ION, PHOSPHATE ION', 'CHLORIDE ION, POTASSIUM CATION, GLUCONIC ACID, ACETATE ION,  MAGNESIUM CATION, SODIUM CATION', 'CHLORIDE ION, POTASSIUM CATION, GLUCONIC ACID, ACETATE ION, SODIUM CATION, MAGNESIUM CATION', 'POTASSIUM CATION, CALCIUM CATION, CHLORIDE ION, SODIUM CATION']	['ELECTROLYTE IMBALANCE', 'ELECTROLYTE IMBALANCES']
UMLS:C0342579|CHEBI:422	Electrolyte imbalance	L-Lactic acid	CHEBI:422	UMLS:C0342579	['CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, LACTIC ACID, SODIUM CATION', 'CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, SODIUM CATION, LACTIC ACID, UNSPECIFIED FORM', 'POTASSIUM CATION, LACTIC ACID, CALCIUM CATION, CHLORIDE ION']	['ELECTROLYTE IMBALANCE', 'ELECTROLYTE IMBALANCES']
UMLS:C0342579|CHEBI:6446	Electrolyte imbalance	levothyroxine sodium anhydrous	CHEBI:6446	UMLS:C0342579	['ANHYDROUS DEXTROSE, SODIUM CATION', 'CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, ANHYDROUS DEXTROSE, LACTIC ACID, SODIUM CATION', 'CALCIUM CATION, CHLORIDE ION, POTASSIUM CATION, ANHYDROUS DEXTROSE, SODIUM CATION, LACTIC ACID, UNSPECIFIED FORM', 'CHLORIDE ION, POTASSIUM CATION, ANHYDROUS DEXTROSE, LACTIC ACID, SODIUM CATION, MAGNESIUM CATION, PHOSPHATE ION', 'POTASSIUM CATION, ANHYDROUS DEXTROSE, CHLORIDE ION, SODIUM CATION']	['ELECTROLYTE IMBALANCE']
UMLS:C0342634|CHEBI:29108	Neonatal hypocalcemia	Calcium cation	CHEBI:29108	UMLS:C0342634	['CALCIUM CATION']	['HYPOCALCEMIA (NEONATAL TETANY)']
UMLS:C0342879|CHEBI:135942	Primary hypercholesterolemia	Laropiprant	CHEBI:135942	UMLS:C0342879	['LAROPIPRANT, NICOTINIC ACID']	['PRIMARY HYPERCHOLESTEROLAEMIA']
UMLS:C0342879|CHEBI:15940	Primary hypercholesterolemia	Niacin	CHEBI:15940	UMLS:C0342879	['NIACIN']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|CHEBI:2911	Primary hypercholesterolemia	atorvastatin calcium trihydrate	CHEBI:2911	UMLS:C0342879	['ATORVASTATIN', 'CROSCARMELLOSE, ATORVASTATIN']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|CHEBI:40303	Primary hypercholesterolemia	Lovastatin	CHEBI:40303	UMLS:C0342879	['LOVASTATIN']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|CHEBI:5001	Primary hypercholesterolemia	Fenofibrate	CHEBI:5001	UMLS:C0342879	['FENOFIBRATE', 'FENOFIBRIC ACID']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|CHEBI:59594	Primary hypercholesterolemia	Colesevelam	CHEBI:59594	UMLS:C0342879	['COLESEVELAM']	['PRIMARY HYPERCHOLESTEROLAEMIA']
UMLS:C0342879|CHEBI:6446	Primary hypercholesterolemia	levothyroxine sodium anhydrous	CHEBI:6446	UMLS:C0342879	['ANHYDROUS LACTOSE, CROSCARMELLOSE, PRAVASTATIN', 'CROSCARMELLOSE, PRAVASTATIN, ANHYDROUS LACTOSE', 'FENOFIBRIC ACID, MONOSTEARYL FUMARATE, ANHYDROUS LACTOSE']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|CHEBI:8361	Primary hypercholesterolemia	PRAVASTATIN SODIUM	CHEBI:8361	UMLS:C0342879	['PRAVASTATIN']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|UNII:4B33BGI082	Primary hypercholesterolemia	Cholestyramine	UNII:4B33BGI082	UMLS:C0342879	['CHOLESTYRAMINE']	['PRIMARY HYPERCHOLESTEROLEMIA']
UMLS:C0342879|UNII:PP0SHH6V16	Primary hypercholesterolemia	Alirocumab	UNII:PP0SHH6V16	UMLS:C0342879	['ALIROCUMAB']	['PRIMARY HYPERCHOLESTEROLAEMIA']
UMLS:C0342882|CHEBI:135942	Familial hypercholesterolemia - heterozygous	Laropiprant	CHEBI:135942	UMLS:C0342882	['LAROPIPRANT, NICOTINIC ACID']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLAEMIA']
UMLS:C0342882|CHEBI:2911	Familial hypercholesterolemia - heterozygous	atorvastatin calcium trihydrate	CHEBI:2911	UMLS:C0342882	['ATORVASTATIN', 'CROSCARMELLOSE, ATORVASTATIN']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:32020	Familial hypercholesterolemia - heterozygous	Pitavastatin	CHEBI:32020	UMLS:C0342882	['PITAVASTATIN']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:38545	Familial hypercholesterolemia - heterozygous	Rosuvastatin	CHEBI:38545	UMLS:C0342882	['ROSUVASTATIN']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:38561	Familial hypercholesterolemia - heterozygous	fluvastatin	CHEBI:38561	UMLS:C0342882	['FLUVASTATIN']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:40303	Familial hypercholesterolemia - heterozygous	Lovastatin	CHEBI:40303	UMLS:C0342882	['LOVASTATIN']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:49040	Familial hypercholesterolemia - heterozygous	Ezetimibe	CHEBI:49040	UMLS:C0342882	['EZETIMIBE']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:59594	Familial hypercholesterolemia - heterozygous	Colesevelam	CHEBI:59594	UMLS:C0342882	['COLESEVELAM']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
UMLS:C0342882|CHEBI:6446	Familial hypercholesterolemia - heterozygous	levothyroxine sodium anhydrous	CHEBI:6446	UMLS:C0342882	['ANHYDROUS LACTOSE, CROSCARMELLOSE, PRAVASTATIN', 'CROSCARMELLOSE, ATORVASTATIN, ANHYDROUS LACTOSE, MONOSTEARYL FUMARATE', 'CROSCARMELLOSE, PRAVASTATIN, ANHYDROUS LACTOSE', 'LOVASTATIN, ANHYDROUS LACTOSE']	['HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA']
